line,page,page_row,kh_record_id,date,date_as_recorded,discharge_date,discharge_as_recorded,address_as_recorded,description_as_recorded,dog_name,species,sex,colour,life_stage,condition_as_recorded,opd,admission,medical_expense_recorded,payment_marked_done,media_label,animal_key,place_key,disposition,note
36,1,38,KH-RR-036,2024-07-23,23/7/2024,,,la mats,brown puppy,,dog,,Brown,puppy,,,,,,,A18,la-martiniere,profile,
37,1,39,KH-RR-037,2024-07-23,23/7/2024,,,la mats,brown puppy,,dog,,Brown,puppy,,,,,,,A18,la-martiniere,duplicate,"Exact duplicate of the previous line (same date, place, animal and caretaker)"
38,1,40,KH-RR-038,2024-09-24,24/9/2024,,,,Black cat,,,,,,,,,,,,,,withheld,No place recorded on this line
39,1,41,KH-RR-039,2024-10-11,11/10/2024,,,Charbagh,Black puppy,,dog,,Black,puppy,,,,,,,A19,charbagh,profile,
40,1,42,KH-RR-040,2024-11-19,19/11/2024,,,Indra nagar,Brown puppy,,dog,,Brown,puppy,,,,,,,A20,indira-nagar,profile,
41,1,43,KH-RR-041,2025-02-17,17/2/2025,,,Gomti nagar,Whith dog,,dog,,White,,,,,,,,A21,gomti-nagar,profile,
42,1,44,KH-RR-042,2025-02-21,21/2/2025,,,Ashiyana,Cd dog,,dog,,,,CD,,,,,,A22,ashiyana,profile,
43,1,45,KH-RR-043,2025-02-22,22/2/2025,,,Hazratganj,Brown female do,,dog,female,Brown,,,,,,,,A23,hazratganj,profile,
44,1,46,KH-RR-044,2025-02-22,22/2/2025,,,Ashiyana,Cd dog,,dog,,,,CD,,,,,,A22,ashiyana,profile,
45,1,47,KH-RR-045,2025-03-07,7/3/2025,,,Lalbag,Black whith dog,,dog,,Black and white,,,,,,,,A24,lalbagh,profile,
46,1,48,KH-RR-046,2025-03-19,19/3/2025,,,Sadar Bazar,Brown dog,,dog,,Brown,,,,,,,,A25,sadar-bazar,profile,
47,1,49,KH-RR-047,2025-03-20,20/3/2025,,,Rajendra Nagar,Black puppy,,dog,,Black,puppy,,,,,,,A26,rajendra-nagar,profile,
48,1,50,KH-RR-048,2025-03-28,28/3/2025,,,Sadar bazar,brown dog,,dog,,Brown,,,,,,,,A25,sadar-bazar,profile,
49,1,51,KH-RR-049,2025-04-03,3/4/2025,,,,White & Brown,,,,,,,,,yes,,,,,withheld,No place recorded on this line
50,1,52,KH-RR-050,2025-04-08,8/4/2025,,,,Tumor Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
51,1,53,KH-RR-051,2025-04-08,8/4/2025,,,,Tyson-C.D,,,,,,,,,yes,,,,,withheld,No place recorded on this line
52,1,54,KH-RR-052,2025-04-21,21/4/2025,,,,White & Black,,,,,,,,,yes,,,,,withheld,No place recorded on this line
53,1,55,KH-RR-053,2025-04-21,21/4/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
54,1,56,KH-RR-054,2025-04-23,23/4/2025,,,,Brownie,,,,,,,,,yes,,,,,withheld,No place recorded on this line
55,1,57,KH-RR-055,2025-04-25,25/4/2025,,,,Juli,,,,,,,,,yes,,,,,withheld,No place recorded on this line
56,1,58,KH-RR-056,2025-04-25,25/4/2025,,,,Tumor,,,,,,,,,yes,,,,,withheld,No place recorded on this line
57,1,59,KH-RR-057,2025-04-25,25/4/2025,,,,Brownie,,,,,,,,,yes,,,,,withheld,No place recorded on this line
58,1,60,KH-RR-058,2025-04-29,29/4/2025,,,,Pigeon,,,,,,,,,yes,,,,,withheld,No place recorded on this line
59,1,61,KH-RR-059,2025-05-08,8/5/2025,,,,White & Brown,,,,,,,,,yes,,,,,withheld,No place recorded on this line
60,2,1,KH-RR-060,2025-05-11,11/5/2025,,,,Rainbow Black Puppy,,,,,,,,,yes,,,,,withheld,No place recorded on this line
61,2,2,KH-RR-061,2025-05-12,12/5/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
62,2,3,KH-RR-062,2025-05-13,13/5/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
63,2,4,KH-RR-063,2025-05-14,14/5/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
64,2,5,KH-RR-064,2025-05-17,17/5/2025,,,,Kali,,,,,,,,,yes,,,,,withheld,No place recorded on this line
65,2,6,KH-RR-065,2025-06-02,2/6/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
66,2,7,KH-RR-066,2025-06-24,24/6/2025,,,,Brown Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
67,2,8,KH-RR-067,2025-07-13,13/7/2025,,,,July,,,,,,,,,yes,,,,,withheld,No place recorded on this line
68,2,9,KH-RR-068,2025-07-18,18/7/2025,,,,Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
69,2,10,KH-RR-069,2025-07-25,25/7/2025,,,,Tumar Dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
70,2,11,KH-RR-070,2025-08-23,23/8/2025,,,,July,,,,,,,,,yes,,,,,withheld,No place recorded on this line
71,2,12,KH-RR-071,2025-08-24,24/8/2025,,,,July,,,,,,,,,yes,,,,,withheld,No place recorded on this line
72,2,13,KH-RR-072,2025-08-25,25/8/2025,,,,July,,,,,,,,,yes,,,,,withheld,No place recorded on this line
73,2,14,KH-RR-073,2025-08-26,26/8/2025,,,,July,,,,,,,,,yes,,,,,withheld,No place recorded on this line
74,2,15,KH-RR-074,2025-10-29,29/10/25,,,,puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
75,2,16,KH-RR-075,2025-10-30,30/10/25,,,,puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
76,2,17,KH-RR-076,2025-10-31,31/10/25,,,,puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
77,2,18,KH-RR-077,2025-12-07,7/12/25,,,,White & Brown,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
78,2,19,KH-RR-078,2025-12-08,8/12/25,,,,dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
79,2,20,KH-RR-079,2025-12-18,18/12/25,,,,Barauni,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
80,2,21,KH-RR-080,2025-11-15,15/11/25,,,,danger,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
81,2,22,KH-RR-081,2025-11-05,5/11/25,,,,pups,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
82,2,23,KH-RR-082,2025-12-07,7/12/25,,,,titu,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
83,2,24,KH-RR-083,2025-12-08,8/12/25,,,,dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
